station_code,station_name
M21/1,青洲/嘉应花园
T326/1,柯维纳马路
T326/2,柯维纳马路
T326/3,柯维纳马路
T326/4,柯维纳马路
T326/5,柯维纳马路
M137/1,内港客运码头
M144/1,水坑尾/天神巷
M144/2,水坑尾/天神巷
M144/3,水坑尾/天神巷
M100/1,水坑尾/高可宁大宅
T391/1,霍英东马路/科技大学
T385/1,莲花路/莲花圆形地-1
M172/1,亚马喇前地
M172/2,亚马喇前地
M172/3,亚马喇前地
M172/4,亚马喇前地
M172/5,亚马喇前地
M172/6,亚马喇前地
M172/7,亚马喇前地
M172/8,亚马喇前地
M172/10,亚马喇前地
M172/11,亚马喇前地
M172/12,亚马喇前地
M172/13,亚马喇前地
M172/14,亚马喇前地
M172/15,亚马喇前地
M172/16,亚马喇前地
M172/9,亚马喇前地
M172/17,亚马喇前地
C650/1,石排湾马路/擎天汇
T420/1,莲花海滨大马路/银河-1
T355/2,莲花路停车场
T372/1,莲花路/新濠影汇
T426/1,澳大河隧/高尔夫俱乐部
T427/1,澳大河隧/西堤马路
T401/1,鸡颈马路/孝思-1
T410/1,鸡颈马路/孝思-2
T419/1,机场大马路/永利皇宫
T418/1,机场大马路/轻轨车厂
T433/1,机场大马路/航空圆形地
M120/2,筷子基街/广大中学
M21/2,青洲/嘉应花园
M7/1,关闸马路
M7/2,关闸马路
M7/3,关闸马路
M273/1,青茂/青葱大厦
M6/1,青茂/鸭涌河变电站
M65/1,青茂/青洲坊
M60/1,青茂/何贤绅士马路
M67/1,青茂口岸
T355/1,莲花路停车场
T373/2,伟龙/科技大学
M33/1,俾利喇/望德楼
M238/1,黑沙环海边马路
M32/2,望厦总站
M32/4,望厦总站
T435/1,溜冰路/葡京人
T365/1,排角/银河
M248/1,关闸东侧上落客区
M137/2,内港客运码头
M35/1,慕拉士马路/望善楼
M35/2,慕拉士马路/望善楼
M253/1,宋玉生广场/建兴龙
M189/1,下环街市
M258/1,宋玉生广场/东南亚
T348/1,路环发电厂
T436/1,溜冰路/东亚运体育馆
T434/1,机场大马路/上葡京
T349/1,路环电厂圆形地
T364/1,望德圣母湾马路/军营
T364/2,望德圣母湾马路/军营
T397/1,路氹西/银河
T380/1,连贯公路/伦敦人
T379/1,连贯公路/巴黎人花园
T388/1,东亚运/巴黎人花园
M213/1,俾若翰街/快富楼
M108/1,俾若翰街/绿杨花园
M108/3,俾若翰街/绿杨花园
M70/1,澳门理工大学
M71/1,厦门街/澳门理工大学
C666/1,竹湾马路-1
C700/1,澳门镜湖护理学院
T384/1,莲花路/体育馆马路
M2/1,东方明珠总站
T363/1,连贯公路/威尼斯人
T363/2,连贯公路/威尼斯人
M3/1,妈阁交通枢纽
M3/2,妈阁交通枢纽
M3/3,妈阁交通枢纽
M3/4,妈阁交通枢纽
M198/1,西湾湖景大马路/妈阁码头
M198/2,西湾湖景大马路/妈阁码头
C669/1,黑沙海滩
C669/2,黑沙海滩
C654/1,联生圆形地总站
C654/2,联生圆形地总站
C654/3,联生圆形地总站
M118/1,高美士/马六甲街停车场
T396/1,路氹西/金光会展
M235/2,东北大马路/保利达
M134(於2023年7月3日首班車重新命名)/1,新马路/永亨
M134/1,新马路/华侨
M202/1,南光大厦
T560/1,横琴澳方口岸
T560/2,横琴澳方口岸
T560/4,横琴澳方口岸
T560/5,横琴澳方口岸
T560/7,横琴澳方口岸
